Symbol,Company_Name,Weight,ADV_20D,Position_Value,Days_To_Liquidate
POLYCAB,Polycab India Limited,0.0240201377534145,2316271807.35,2402013.7753414502,0.0010370172307582269
ADANIPORTS,Adani Ports and Special Economic Zone Limited,0.0239763587470696,3373669639.0795164,2397635.87470696,0.0007106907703509283
POWERINDIA,Hitachi Energy India Limited,0.0236957234556814,7157744736.0,2369572.34556814,0.0003310501328233089
SBIN,State Bank of India,0.0232725996848592,8773996818.526707,2327259.9684859198,0.00026524513475680787
ADANIPOWER,Adani Power Limited,0.0232526240012415,8701394964.536728,2325262.40012415,0.00026722869259480274
BAJAJ-AUTO,Bajaj Auto Limited,0.0232284236961244,3390252519.075879,2322842.36961244,0.0006851532021707942
BHARATFORG,Bharat Forge Limited,0.0230926270847158,1752069513.2322204,2309262.70847158,0.0013180200277621683
APOLLOHOSP,Apollo Hospitals Enterprise Limited,0.0229921229331528,3880171828.7,2299212.2933152798,0.0005925542462601716
BHEL,Bharat Heavy Electricals Limited,0.0229016950155881,4193728750.906015,2290169.50155881,0.0005460938552747459
MOTHERSON,Samvardhana Motherson International Limited,0.0226576847906215,3802947477.0305176,2265768.4790621498,0.0005957927351737568
GVT&D,GE Vernova T&D India Ltd,0.0226551674540102,4744110174.789648,2265516.74540102,0.0004775430295527385
INDUSTOWER,Indus Towers Limited,0.0225853370204692,2733181575.117189,2258533.70204692,0.0008263386972195883
NESTLEIND,Nestlé India Limited,0.0224387385352618,2801292064.615503,2243873.85352618,0.0008010138899365953
CGPOWER,CG Power and Industrial Solutions Limited,0.022426706882935,3510287698.27728,2242670.6882935,0.000638885151605699
TITAN,Titan Company Limited,0.0224050247823875,3426222277.4719973,2240502.4782387502,0.0006539279406857052
TORNTPHARM,Torrent Pharmaceuticals Limited,0.0222795389954635,2354768015.4289308,2227953.8995463504,0.0009461458134934448
ATHERENERG,Ather Energy Limited,0.0221580263123085,4101349137.936835,2215802.63123085,0.000540261888639283
TATASTEEL,Tata Steel Limited,0.0217621045600958,6622054083.466818,2176210.45600958,0.0003286307282573985
BSE,BSE Limited,0.0216850799531143,8773996818.526707,2168507.9953114297,0.000247151673309537
LAURUSLABS,Laurus Labs Limited,0.0214305474044527,2304859375.517785,2143054.74044527,0.0009297984784706592
JSWSTEEL,JSW Steel Limited,0.0213423248739583,2056179374.2716308,2134232.48739583,0.0010379602646057317
NYKAA,FSN E-Commerce Ventures Limited,0.021201270135853,1879164541.978723,2120127.0135853,0.0011282285112472633
HINDALCO,Hindalco Industries Limited,0.0210850195258961,6406327533.871887,2108501.95258961,0.00032912802872494775
APARINDS,APAR Industries Limited,0.0210343348602527,1849503312.0,2103433.48602527,0.001137296414868637
PHOENIXLTD,The Phoenix Mills Limited,0.0209886656963214,765248267.053009,2098866.56963214,0.0027427263281691963
FEDERALBNK,The Federal Bank Limited,0.0206536566336229,5735660901.565318,2065365.66336229,0.00036009201011144706
KEI,KEI Industries Limited,0.0204306940716267,1303086957.135327,2043069.40716267,0.0015678688179445073
GRASIM,Grasim Industries Limited,0.0199667510582008,2760642338.060632,1996675.10582008,0.0007232646831109445
SAIL,Steel Authority of India Limited,0.0199604255004073,4376503251.329583,1996042.55004073,0.0004560815873801377
NATIONALUM,National Aluminium Company Limited,0.019846743819672,5481602198.980354,1984674.3819672,0.0003620610014963096
WAAREEENER,WAAREE ENERGIES LIMITED,0.0197982093465519,3060762629.659045,1979820.93465519,0.0006468390967239863
MARICO,Marico Limited,0.0188589092234991,1345999925.6837585,1885890.92234991,0.001401107746266695
CUPID,Cupid Limited,0.0186212549529847,2129550510.7044053,1862125.49529847,0.0008744218490889528
HINDCOPPER,Hindustan Copper Limited,0.0184223106968242,2373609351.892441,1842231.06968242,0.0007761306923625147
ADANIENSOL,Adani Energy Solutions Limited,0.0182435733252108,5095655373.06814,1824357.3325210798,0.00035802211863920024
SONACOMS,Sona BLW Precision Forgings Limited,0.0182001045682118,805761599.3373016,1820010.45682118,0.002258745587178698
RRKABEL,R R Kabel Limited,0.0181104834288384,1269464695.2124023,1811048.34288384,0.0014266236388565511
JINDALSTEL,Jindal Steel Limited,0.0179788581627996,1024062529.702185,1797885.81627996,0.0017556406607346683
NAVINFLUOR,Navin Fluorine International Limited,0.0177534669117742,1027275226.45,1775346.69117742,0.0017282093887463473
BELRISE,BELRISE INDUSTRIES LTD,0.0177010186579581,1145386952.1773925,1770101.86579581,0.001545418220829937
WELCORP,Welspun Corp Limited,0.0175242701555916,1154836042.343451,1752427.01555916,0.001517468239043741
ACUTAAS,Acutaas Chemicals Limited,0.0174012092902968,1330672150.8816895,1740120.92902968,0.0013077007194271662
KIRLOSENG,Kirloskar Oil Engines Limited,0.0165293663568896,671078758.9071411,1652936.63568896,0.002463103791842235
CRAFTSMAN,Craftsman Automation Limited,0.0162708392703216,497216183.9,1627083.92703216,0.003272387302983281
GPIL,Godawari Power & Ispat Limited,0.0160770207770766,1415119810.6218064,1607702.07770766,0.0011360890192055417
SHYAMMETL,Shyam Metalics and Energy Limited,0.0159280904807013,698681971.9648132,1592809.0480701302,0.0022797340019964714
SYRMA,Syrma SGS Technology Limited,0.0155099013018624,1300762504.6022766,1550990.13018624,0.001192369955851759
MAHABANK,Bank of Maharashtra,0.0137942996732158,1050737736.3119464,1379429.96732158,0.0013128204304942279
AETHER,Aether Industries Limited,0.0134897409599067,405966353.5218506,1348974.09599067,0.003322871672216213
ANANDRATHI,Anand Rathi Wealth Limited,0.0123609172207041,1474407316.2474976,1236091.72207041,0.0008383651576121972
