Symbol,Company_Name_x,Signal,Signal_Score,In_Portfolio,Current_Weight,Volatility_252D,Yahoo_Symbol_x,Raw_Beta,Beta,Observation_Count,Security_ID,Company_Name_y,Industry,Last_Close,Log_Market_Cap,Momentum_1M,Momentum_3M,Momentum_6M,Momentum_12M,Volatility_20D,Volatility_60D,ATR_14,Max_Drawdown_252D,SMA_50,SMA_200,Distance_SMA50,Distance_SMA200,Price_52W_High,Distance_52W_High,Dollar_Volume,Turnover_Ratio,Factor_Date_x,Engine_Version,Yahoo_Symbol_y,PE,PB,ROE,ROCE,Debt_To_Equity,Revenue_Growth,EPS_Growth,Profit_Growth,Operating_Margin,Net_Margin,Market_Cap,Factor_Date_y,ADV_20D,Sector,Freshness_Factor,Momentum_Factor,Quality_Factor,Value_Factor,Growth_Factor,Signal_Factor,Volatility_Factor,Liquidity_Score,Liquidity_Penalty,Adjusted_Liquidity_Score,Composite_Alpha,Sector_Alpha,Risk_Adjusted_Score,Sector_Diversification_Bonus,Selection_Score,Rank,Liquidity_Capacity,Risk_Parity_Score,Sector_Risk_Parity,Target_Weight,Position_Cap,Risk_Budget_Score,Liquidity_Adjustment,Capacity_Days,Current_Weight_Old,Weight_Change,Action,Trading_Cost_Bps,Priority_Score,Execution_Rank,Yahoo_Symbol,Tail_Risk,Market_Weight,Diversification_Penalty,MV_Weight,Benchmark_Weight,Risk_Contribution_Pct,Expected_Alpha
COALINDIA,Coal India Limited,HOLD,64.81308411214954,False,0.0,0.3165,COALINDIA.NS,0.9582,0.972,742,SEC49A300CF,Coal India Limited,Thermal Coal,444.25,28.63286902498804,-0.0388360271158776,-0.0549883126311286,0.1778694740984865,0.1900462801734272,0.2223414236059345,0.2493529077806948,14.635713849748884,-0.3084014082185026,458.8319995117188,413.30735931396487,-0.0317806943003903,0.0748659320690436,481.6499938964844,-0.0776497339778277,9940661689.529076,21444851.85,2026-06-12,1.0.0,COALINDIA.NS,8.9457,2.3354719,0.28124002,0.1891754987616116,11.629,0.162,0.129,-0.12424709441674,0.20922,0.18465,2723309610086.991,2026-06-19,4848794862.97729,Energy,1.0,0.4979973297730307,0.7689047032541794,0.9416846652267818,0.4179169627119245,0.7997329773030708,0.9165554072096128,0.9699599465954606,1.0,0.9699599465954606,0.9311768754301445,1.0,0.4607134425987407,0.20851441405707477,0.22402886911495645,1,1.7916576122589318,0.24054119777632746,0.16524651129512263,0.0025027967060533302,0.07,0.035386520219154706,1.05,0.00341896237829286,,0.0,BUY,21.57784721657904,1.0744614060465014,20.0,COALINDIA.NS,0.07314166142005223,0.046841802750248414,0.0,0.031198849640904466,0.0,0.038946777457844375,0.08008251895690364
CHENNPETRO,Chennai Petroleum Corporation Limited,BUY,71.51869158878503,False,0.0,0.5404,CHENNPETRO.NS,1.0356,1.0238,742,SECFCD40526,Chennai Petroleum Corporation Limited,Oil & Gas Refining & Marketing,1135.300048828125,25.85095663097152,0.1251734874411545,0.2124325603651176,0.2098687716486973,0.7234611437850209,0.3663209621566563,0.4944685525250011,49.47145298549107,-0.6123605044919753,1060.4130017089844,910.4364404296877,0.0706206421445709,0.2469844114459118,1226.4000244140625,-0.0742824313212667,1158306858.1872864,1026475.25,2026-06-12,1.0.0,CHENNPETRO.NS,5.2672744,1.4714378,0.32126,0.3714083955660279,17.68,-0.025,2.025,13.49250315287963,0.11215,0.04875,168627272995.53223,2026-06-19,1973460261.3057823,Energy,1.0,0.8264352469959947,0.7936221736098205,0.9848812095032398,0.6930895167186423,0.9138851802403204,0.18291054739652868,0.8998664886515354,1.0,0.8998664886515354,0.987611837577426,1.0,0.2511871420392771,0.20851441405707477,0.19982171237792734,2,0.7292049260850666,0.07680939841632677,0.16524651129512263,0.0025027967060533302,0.05,0.01191358933925092,0.95,0.005757332869548163,,0.0,BUY,16.361867629162887,0.8125859068427007,29.0,CHENNPETRO.NS,0.11152657738125302,0.002900443427626541,0.0,0.033164444693499454,0.0,0.03295569721287186,0.10093151052109431
ADANIENT,Adani Enterprises Limited,BUY,78.5313751668892,False,0.0,0.5042,ADANIENT.NS,1.7385,1.4948,742,SECFF5B2699,Adani Enterprises Limited,Thermal Coal,2920.199951171875,28.962678741797657,0.0751840762783044,0.4586413342516857,0.3204014388797349,0.1180771465200591,0.3054093534464421,0.4146223033805787,82.39995465959821,-0.7134659815505571,2538.3139965820315,2335.1729583740234,0.1504486659664927,0.2505283348284424,3048.199951171875,-0.0419919959485566,6671811556.09524,2297002.45,2026-06-12,1.0.0,ADANIENT.NS,41.221634,4.845607,0.13664,0.0661516889921016,119.56,0.203,,0.3156036061417101,0.0553,0.09295999,3787316140402.608,2026-06-19,8960639948.12495,Energy,1.0,0.8157543391188251,0.32171881115503104,0.326133909287257,0.6546753916877757,0.9853137516688919,0.3144192256341789,0.9886515353805073,1.0,0.9886515353805073,0.7873365450791466,1.0,0.32461294993688067,0.20851441405707477,0.19382498681733862,3,2.0,0.10638865033377197,0.16524651129512263,0.0025027967060533302,0.05,0.018858863131212166,1.05,0.0009859769371636084,,0.0,BUY,13.834984331078116,0.6938234690974832,33.0,ADANIENT.NS,0.3419893754156333,0.06514305789707994,0.0,0.026188970259013483,0.0,0.032838436068392096,0.08667440339004914
IOC,Indian Oil Corporation Limited,HOLD,47.87716955941256,False,0.0,0.2943,IOC.NS,1.2631,1.1763,742,SEC7245A636,Indian Oil Corporation Limited,Oil & Gas Refining & Marketing,139.66000366210938,28.299285776533264,0.0385187990715376,-0.1279970000703109,-0.1061835705106802,0.0472460864535773,0.3050694814671967,0.3266069735234629,3.1585693359375,-0.3854752658640575,141.04660064697265,151.4460955047607,-0.0098307720888205,-0.0778236758324407,185.1358184814453,-0.245634881420278,2025877471.075235,14591635.25,2026-06-12,1.0.0,IOC.NS,4.7059207,0.9023849,0.20969999,0.242541446859529,58.446,0.067,0.781,2.0958049219581936,0.09243,0.05367,1950848996422.251,2026-06-19,2521831018.5872326,Energy,1.0,0.4243991989319092,0.6736414297777137,0.9899208063354932,0.6932471459743074,0.46194926568758343,0.9512683578104139,0.9198931909212283,1.0,0.9198931909212283,0.8224363386097728,1.0,0.3386406668664896,0.20851441405707477,0.18698206172037485,4,0.9318310774047017,0.19014335298111187,0.16524651129512263,0.0025027967060533302,0.07,0.036903085371404194,0.95,0.0062025643245497255,,0.0,BUY,20.641819108432067,0.7488860256720614,31.0,IOC.NS,0.09604732721641887,0.03355523130659101,0.0,0.027411474087043954,0.0,0.02849823366741144,0.06844692617385596
ADANIPOWER,Adani Power Limited,BUY,80.61415220293725,True,0.0232526240012415,0.5368,ADANIPOWER.NS,1.3586,1.2403,742,SEC23029172,Adani Power Limited,Utilities - Independent Power Producers,220.47000122070312,29.067485402621266,-0.0038856034122658,0.4785728678039962,0.561623549074767,0.8494254082199704,0.3954793030590997,0.386219957637859,7.751427786690848,-0.6778034585059722,214.71160095214844,162.25910022735596,0.026819232137522,0.3587527658651046,248.91000366210935,-0.1142581737293814,8701394964.536728,37328442.8,2026-06-12,1.0.0,ADANIPOWER.NS,35.19667,6.9090962,0.20908001,0.1619029399226956,82.332,-0.001,0.888,-0.0080741832492578,0.25394,0.23662001,4205798997590.7886,2026-06-19,11703353159.23014,Utilities,1.0,0.8222630173564752,0.7210796397049845,0.4017278617710583,0.4481580565087994,0.9939919893190922,0.19592790387182912,0.9946595460614153,1.0,0.9946595460614153,0.8589125946317963,0.2727272727272727,0.29997976966153206,0.23570226039551587,0.18481649171696446,5,2.0,0.02601001670022746,0.04661169660642182,0.044581052104636865,0.05,0.006721007926412344,1.05,0.0009716604456234137,0.0232526240012415,0.0,SELL,16.880938655255754,0.957771797068548,24.0,ADANIPOWER.NS,0.14972444940636437,0.07234109787687606,0.0014581763339232983,0.02817399653287635,0.0232526240012415,0.03853788863032549,0.09182960263544421
AEGISLOG,AEGIS LOGISTICS LIMITED,BUY,70.5407209612817,False,0.0,0.498,AEGISLOG.NS,0.7041,0.8017,738,SEC3DA3820C,AEGIS LOGISTICS LIMITED,Oil & Gas Refining & Marketing,948.5999755859376,26.54354250436238,0.4071051564678249,0.4885837200250098,0.2603467014093594,0.1930422802217288,0.5228566411967508,0.4772277891310872,37.989288330078125,-0.5488392560016675,711.0220007324219,723.4980001831054,0.3341358981983497,0.311130058888708,948.5999755859376,0.0,2635423346.9320345,3028517.65,2026-06-12,1.0.0,AEGISLOG.NS,39.39329,5.962019,0.15258001,0.1317186188075874,47.243,0.522,0.458,0.3539201350679108,0.22027999,0.10778,337065295715.33203,2026-06-19,1089326615.3291445,Energy,1.0,0.8806742323097464,0.6055157249300898,0.3491720662347012,0.757647530744271,0.897196261682243,0.3451268357810414,0.8377837116154874,1.0,0.8377837116154874,0.905712319339298,1.0,0.21251414898811813,0.20851441405707477,0.17834462318127903,6,0.5,0.07051650948019766,0.16524651129512263,0.0025027967060533302,0.05,0.01302086340786934,0.95,0.007916373484806609,,0.0,BUY,13.62351633388577,0.6083090594136911,34.0,AEGISLOG.NS,0.1964531689848153,0.0057976316895336005,0.0,0.01447166345744737,0.0,0.013657499077495725,0.09306306321241634
OBEROIRLTY,Oberoi Realty Limited,HOLD,53.61481975967957,False,0.0,0.3744,OBEROIRLTY.NS,1.2766,1.1853,740,SEC3F823D9E,Oberoi Realty Limited,Real Estate - Development,1611.199951171875,27.091764530178928,-0.0037101163623287,0.0835525717908634,-0.0077544147164733,-0.1492146723413405,0.2677169856203344,0.2998047606876929,40.978585379464285,-0.3886198812552436,1651.6695092773436,1619.2008728027345,-0.0245022129900401,-0.004941277987956,1979.2589111328125,-0.1859579653226277,557453643.657959,335208.05,2026-06-12,1.0.0,OBEROIRLTY.NS,24.311993,3.4054184,0.14913,0.1597786784491817,15.765,0.521,0.624,0.1266734956518128,0.53072,0.41727,583181636801.3077,2026-06-19,1398886044.8716817,Real Estate,1.0,0.46862483311081443,0.6971371909444986,0.5910727141828653,0.7063498857472673,0.5841121495327103,0.7960614152202937,0.8724966622162884,1.0,0.8724966622162884,0.7439779766001376,0.09090909090909091,0.23951678233850615,0.3333333333333333,0.172843472260369,7,0.5168964457774952,0.009312491029079146,0.014556794756701717,0.03330766438546626,0.07,0.0034645683828056157,0.95,0.005923952382596045,,0.0,BUY,13.286934318497957,0.444302489846571,38.0,OBEROIRLTY.NS,0.11339183571037975,0.010030912055475495,0.0,0.025839791392124133,0.0,0.021352203251288178,0.07140369965029682
BPCL,Bharat Petroleum Corporation Limited,HOLD,43.71829105473965,False,0.0,0.3357,BPCL.NS,1.3027,1.2028,742,SEC0CEAF73E,Bharat Petroleum Corporation Limited,Oil & Gas Refining & Marketing,299.6499938964844,27.86212113306536,0.0534363896542571,-0.0818140392452213,-0.1324715299081194,-0.0026570605245863,0.3399963353080985,0.3934438004041011,7.400004795619419,-0.3458878996679102,298.51100158691406,328.7099983215332,0.0038155790021652,-0.0884062078228095,388.2999877929688,-0.2283028500730991,2449858499.9314165,8287226.7,2026-06-12,1.0.0,BPCL.NS,5.118221,1.3207579,0.28469,0.2992969349571445,54.332,0.067,0.28,0.9377912578590416,0.08165,0.05677,1259985253264.8115,2026-06-19,3189014504.895592,Energy,1.0,0.42389853137516686,0.720720943556994,0.9877609791216703,0.5931504576059842,0.37316421895861146,0.8851802403204272,0.9412550066755674,1.0,0.9412550066755674,0.735719201651755,1.0,0.30506401811539263,0.20851441405707477,0.1696474090116376,8,1.1783592160036276,0.15016611473113115,0.16524651129512263,0.0025027967060533302,0.07,0.034375476784321714,1.05,0.007890463894802113,,0.0,BUY,30.16280381087891,1.1000747807573161,18.0,BPCL.NS,0.0937539792479171,0.021672152326362482,0.0,0.02439116181193726,0.0,0.02110708834195165,0.06379856251407573
ONGC,Oil and Natural Gas Corporation Limited,HOLD,55.8411214953271,False,0.0,0.3661,ONGC.NS,1.026,1.0174,742,SECB56AA8A0,Oil and Natural Gas Corporation Limited,Oil & Gas Integrated,245.6499938964844,28.76072781834039,-0.1793887125843642,-0.0920347256328041,0.0507357374085823,0.0583036303634703,0.2420553796405437,0.2779228304260742,6.771429879324777,-0.3530355874857934,282.6729974365234,253.42661514282227,-0.1309746734770903,-0.030685890043377,301.3999938964844,-0.1849701430954484,4187983575.793225,15455442.5,2026-06-12,1.0.0,ONGC.NS,7.4210687,0.82724196,0.12703,0.179400388008923,42.548,0.019,0.478,0.1435105872584099,0.09212,0.06255,3094748684676.0,2026-06-19,4155856685.598875,Energy,1.0,0.34212283044058744,0.5013201280878835,0.9625629949604032,0.479908867261936,0.6278371161548731,0.8190921228304406,0.9619492656875834,1.0,0.9619492656875834,0.7088781830695113,1.0,0.3117331118523678,0.20851441405707477,0.16943860087614637,9,1.5356129670617646,0.1407069357792298,0.16524651129512263,0.0025027967060533302,0.07,0.03184786819723924,1.05,0.0035901292137005213,,0.0,BUY,19.920062494921144,0.8331530224967648,27.0,ONGC.NS,0.18256670110702583,0.05323067451172154,0.0,0.02345630665968464,0.0,0.025352319753481685,0.06462737941601297
HINDPETRO,Hindustan Petroleum Corporation Limited,HOLD,42.7369826435247,False,0.0,0.3798,HINDPETRO.NS,1.476,1.3189,742,SECC30A35A3,Hindustan Petroleum Corporation Limited,Oil & Gas Refining & Marketing,384.5,27.41563730319816,0.0493995807997453,0.0003902533995121,-0.1446051167964405,-0.0158245507691058,0.3951568303754409,0.4727356754776339,10.867847987583705,-0.4040131508739696,376.4419976806641,419.5716471862793,0.0214056942875207,-0.0835891734378999,499.0499877929688,-0.2295360997794271,2368715821.266843,6147621.7,2026-06-12,1.0.0,HINDPETRO.NS,4.652205,1.2809983,0.30929002,0.2883936683834563,85.369,0.049,0.775,1.67928945766587,0.08081,0.041050002,806231938704.102,2026-06-19,2868994594.520419,Energy,1.0,0.45761014686248336,0.7192393042285189,0.9953203743700504,0.6725391340017399,0.3477970627503338,0.7770360480640854,0.9339118825100133,1.0,0.9339118825100133,0.7370956641431521,1.0,0.27459900033575035,0.20851441405707477,0.16677797544142622,10,1.060110017037508,0.11947479413009729,0.16524651129512263,0.0025027967060533302,0.07,0.026473204414432884,1.05,0.00675440478788774,,0.0,BUY,24.378350825652767,0.8281722428960546,28.0,HINDPETRO.NS,0.10663291225400853,0.01386744911553467,0.0,0.024439102503279433,0.0,0.01983633073089414,0.06542895942419354
